"ID"	"batch"	"protocol"	"date"	"location"	"batch_date"
"D6_25_2024_12_28"	"20250113_2414641386"	"both"	"2024_12_28"	"25"	"20250113"
"G5_10_2024_12_28"	"20250113_2414641386"	"both"	"2024_12_28"	"10"	"20250113"
"G6_16_2024_12_28"	"20250113_2414641386"	"both"	"2024_12_28"	"16"	"20250113"
"B6_17_2024_12_29"	"20250113_2414641386"	"both"	"2024_12_29"	"17"	"20250113"
"D5_05_2024_12_29"	"20250113_2414641386"	"both"	"2024_12_29"	"05"	"20250113"
"E6_25_2024_12_29"	"20250113_2414641386"	"both"	"2024_12_29"	"25"	"20250113"
"H6_16_2024_12_29"	"20250113_2414641386"	"both"	"2024_12_29"	"16"	"20250113"
"A1_10_2025_01_01"	"20250124_2418641000"	"both"	"2025_01_01"	"10"	"20250124"
"A2_16_2025_01_01"	"20250124_2418641000"	"both"	"2025_01_01"	"16"	"20250124"
"C1_17_2025_01_01"	"20250124_2418641000"	"both"	"2025_01_01"	"17"	"20250124"
"E1_25_2025_01_01"	"20250124_2418641000"	"both"	"2025_01_01"	"25"	"20250124"
"G1_15_2025_01_01"	"20250124_2418641000"	"both"	"2025_01_01"	"15"	"20250124"
"B1_10_2025_01_03"	"20250124_2418641000"	"both"	"2025_01_03"	"10"	"20250124"
"D1_17_2025_01_03"	"20250124_2418641000"	"both"	"2025_01_03"	"17"	"20250124"
"F1_25_2025_01_03"	"20250124_2418641000"	"both"	"2025_01_03"	"25"	"20250124"
"H1_15_2025_01_03"	"20250124_2418641000"	"both"	"2025_01_03"	"15"	"20250124"
"B2_16_2025_01_04"	"20250124_2418641000"	"both"	"2025_01_04"	"16"	"20250124"
"C3_15_2025_01_08"	"20250124_2418641000"	"both"	"2025_01_08"	"15"	"20250124"
"A3_25_2025_01_09"	"20250124_2418641000"	"both"	"2025_01_09"	"25"	"20250124"
"C2_05_2025_01_09"	"20250124_2418641000"	"both"	"2025_01_09"	"05"	"20250124"
"E2_10_2025_01_09"	"20250124_2418641000"	"both"	"2025_01_09"	"10"	"20250124"
"E3_16_2025_01_09"	"20250124_2418641000"	"both"	"2025_01_09"	"16"	"20250124"
"G2_17_2025_01_09"	"20250124_2418641000"	"both"	"2025_01_09"	"17"	"20250124"
"B3_25_2025_01_11"	"20250124_2418641000"	"both"	"2025_01_11"	"25"	"20250124"
"D2_05_2025_01_11"	"20250124_2418641000"	"both"	"2025_01_11"	"05"	"20250124"
"F2_10_2025_01_11"	"20250124_2418641000"	"both"	"2025_01_11"	"10"	"20250124"
"H2_17_2025_01_11"	"20250124_2418641000"	"both"	"2025_01_11"	"17"	"20250124"
"D3_15_2025_01_12"	"20250124_2418641000"	"both"	"2025_01_12"	"15"	"20250124"
"F3_16_2025_01_12"	"20250124_2418641000"	"both"	"2025_01_12"	"16"	"20250124"
"A1_05_2025_01_13"	"20250207_2418407657"	"both"	"2025_01_13"	"05"	"20250207"
"C1_10_2025_01_13"	"20250207_2418407657"	"both"	"2025_01_13"	"10"	"20250207"
"E1_17_2025_01_13"	"20250207_2418407657"	"both"	"2025_01_13"	"17"	"20250207"
"G1_25_2025_01_13"	"20250207_2418407657"	"both"	"2025_01_13"	"25"	"20250207"
"A2_15_2025_01_16"	"20250207_2418407657"	"both"	"2025_01_16"	"15"	"20250207"
"C2_16_2025_01_16"	"20250207_2418407657"	"both"	"2025_01_16"	"16"	"20250207"
"B1_05_2025_01_19"	"20250207_2418407657"	"both"	"2025_01_19"	"05"	"20250207"
"D1_10_2025_01_19"	"20250207_2418407657"	"both"	"2025_01_19"	"10"	"20250207"
"F1_17_2025_01_19"	"20250207_2418407657"	"both"	"2025_01_19"	"17"	"20250207"
"H1_25_2025_01_19"	"20250207_2418407657"	"both"	"2025_01_19"	"25"	"20250207"
"B2_15_2025_01_20"	"20250207_2418407657"	"both"	"2025_01_20"	"15"	"20250207"
"D2_16_2025_01_20"	"20250207_2418407657"	"both"	"2025_01_20"	"16"	"20250207"
"A3_17_2025_01_21"	"20250207_2418407657"	"both"	"2025_01_21"	"17"	"20250207"
"C3_25_2025_01_21"	"20250207_2418407657"	"both"	"2025_01_21"	"25"	"20250207"
"E2_05_2025_01_21"	"20250207_2418407657"	"both"	"2025_01_21"	"05"	"20250207"
"E3_15_2025_01_21"	"20250207_2418407657"	"both"	"2025_01_21"	"15"	"20250207"
"G2_10_2025_01_21"	"20250207_2418407657"	"both"	"2025_01_21"	"10"	"20250207"
"G3_16_2025_01_21"	"20250207_2418407657"	"both"	"2025_01_21"	"16"	"20250207"
"B3_17_2025_01_24"	"20250207_2418407657"	"both"	"2025_01_24"	"17"	"20250207"
"D3_25_2025_01_24"	"20250207_2418407657"	"both"	"2025_01_24"	"25"	"20250207"
"F2_05_2025_01_24"	"20250207_2418407657"	"both"	"2025_01_24"	"05"	"20250207"
"F3_15_2025_01_24"	"20250207_2418407657"	"both"	"2025_01_24"	"15"	"20250207"
"H2_10_2025_01_24"	"20250207_2418407657"	"both"	"2025_01_24"	"10"	"20250207"
"H3_16_2025_01_25"	"20250207_2418407657"	"both"	"2025_01_25"	"16"	"20250207"
"A1_05_2025_01_29"	"20250221_2414523030"	"both"	"2025_01_29"	"05"	"20250221"
"A2_15_2025_01_29"	"20250221_2414523030"	"both"	"2025_01_29"	"15"	"20250221"
"C1_10_2025_01_29"	"20250221_2414523030"	"both"	"2025_01_29"	"10"	"20250221"
"C2_16_2025_01_29"	"20250221_2414523030"	"both"	"2025_01_29"	"16"	"20250221"
"E1_17_2025_01_29"	"20250221_2414523030"	"both"	"2025_01_29"	"17"	"20250221"
"G1_25_2025_01_29"	"20250221_2414523030"	"both"	"2025_01_29"	"25"	"20250221"
"B1_05_2025_02_01"	"20250221_2414523030"	"both"	"2025_02_01"	"05"	"20250221"
"D1_10_2025_02_01"	"20250221_2414523030"	"both"	"2025_02_01"	"10"	"20250221"
"F1_17_2025_02_01"	"20250221_2414523030"	"both"	"2025_02_01"	"17"	"20250221"
"H1_25_2025_02_01"	"20250221_2414523030"	"both"	"2025_02_01"	"25"	"20250221"
"B2_15_2025_02_02"	"20250221_2414523030"	"both"	"2025_02_02"	"15"	"20250221"
"D2_16_2025_02_02"	"20250221_2414523030"	"both"	"2025_02_02"	"16"	"20250221"
"G3_16_2025_02_04"	"20250221_2414523030"	"both"	"2025_02_04"	"16"	"20250221"
"A3_17_2025_02_06"	"20250221_2414523030"	"both"	"2025_02_06"	"17"	"20250221"
"C3_25_2025_02_06"	"20250221_2414523030"	"both"	"2025_02_06"	"25"	"20250221"
"E2_05_2025_02_06"	"20250221_2414523030"	"both"	"2025_02_06"	"05"	"20250221"
"E3_15_2025_02_06"	"20250221_2414523030"	"both"	"2025_02_06"	"15"	"20250221"
"G2_10_2025_02_06"	"20250221_2414523030"	"both"	"2025_02_06"	"10"	"20250221"
"B3_17_2025_02_09"	"20250221_2414523030"	"both"	"2025_02_09"	"17"	"20250221"
"D3_25_2025_02_09"	"20250221_2414523030"	"both"	"2025_02_09"	"25"	"20250221"
"F2_05_2025_02_09"	"20250221_2414523030"	"both"	"2025_02_09"	"05"	"20250221"
"H2_10_2025_02_09"	"20250221_2414523030"	"both"	"2025_02_09"	"10"	"20250221"
"A1_05_2025_02_10"	"20250307_2418539124"	"both"	"2025_02_10"	"05"	"20250307"
"C1_10_2025_02_10"	"20250307_2418539124"	"both"	"2025_02_10"	"10"	"20250307"
"E1_17_2025_02_10"	"20250307_2418539124"	"both"	"2025_02_10"	"17"	"20250307"
"F3_15_2025_02_10"	"20250221_2414523030"	"both"	"2025_02_10"	"15"	"20250221"
"G1_25_2025_02_10"	"20250307_2418539124"	"both"	"2025_02_10"	"25"	"20250307"
"H3_16_2025_02_10"	"20250221_2414523030"	"both"	"2025_02_10"	"16"	"20250221"
"A2_15_2025_02_11"	"20250307_2418539124"	"both"	"2025_02_11"	"15"	"20250307"
"C2_16_2025_02_11"	"20250307_2418539124"	"both"	"2025_02_11"	"16"	"20250307"
"D2_16_2025_02_12"	"20250307_2418539124"	"both"	"2025_02_12"	"16"	"20250307"
"B1_05_2025_02_14"	"20250307_2418539124"	"both"	"2025_02_14"	"05"	"20250307"
"B2_15_2025_02_14"	"20250307_2418539124"	"both"	"2025_02_14"	"15"	"20250307"
"D1_10_2025_02_14"	"20250307_2418539124"	"both"	"2025_02_14"	"10"	"20250307"
"F1_17_2025_02_14"	"20250307_2418539124"	"both"	"2025_02_14"	"17"	"20250307"
"H1_25_2025_02_14"	"20250307_2418539124"	"both"	"2025_02_14"	"25"	"20250307"
"A3_17_2025_02_18"	"20250307_2418539124"	"both"	"2025_02_18"	"17"	"20250307"
"C3_25_2025_02_18"	"20250307_2418539124"	"both"	"2025_02_18"	"25"	"20250307"
"E2_05_2025_02_18"	"20250307_2418539124"	"both"	"2025_02_18"	"05"	"20250307"
"G2_10_2025_02_18"	"20250307_2418539124"	"both"	"2025_02_18"	"10"	"20250307"
"G3_16_2025_02_18"	"20250307_2418539124"	"both"	"2025_02_18"	"16"	"20250307"
"E3_15_2025_02_19"	"20250307_2418539124"	"both"	"2025_02_19"	"15"	"20250307"
"H3_16_2025_02_20"	"20250307_2418539124"	"both"	"2025_02_20"	"16"	"20250307"
"B3_17_2025_02_22"	"20250307_2418539124"	"both"	"2025_02_22"	"17"	"20250307"
"D3_25_2025_02_22"	"20250307_2418539124"	"both"	"2025_02_22"	"25"	"20250307"
"F2_05_2025_02_22"	"20250307_2418539124"	"both"	"2025_02_22"	"05"	"20250307"
"H2_10_2025_02_22"	"20250307_2418539124"	"both"	"2025_02_22"	"10"	"20250307"
"F3_15_2025_02_23"	"20250307_2418539124"	"both"	"2025_02_23"	"15"	"20250307"
"A1_05_2025_02_26"	"20250321_2429695737"	"both"	"2025_02_26"	"05"	"20250321"
"C1_10_2025_02_26"	"20250321_2429695737"	"both"	"2025_02_26"	"10"	"20250321"
"C2_16_2025_02_26"	"20250321_2429695737"	"both"	"2025_02_26"	"16"	"20250321"
"E1_17_2025_02_26"	"20250321_2429695737"	"both"	"2025_02_26"	"17"	"20250321"
"G1_25_2025_02_26"	"20250321_2429695737"	"both"	"2025_02_26"	"25"	"20250321"
"A2_15_2025_02_27"	"20250321_2429695737"	"both"	"2025_02_27"	"15"	"20250321"
"B1_05_2025_03_02"	"20250321_2429695737"	"both"	"2025_03_02"	"05"	"20250321"
"D1_10_2025_03_02"	"20250321_2429695737"	"both"	"2025_03_02"	"10"	"20250321"
"F1_17_2025_03_02"	"20250321_2429695737"	"both"	"2025_03_02"	"17"	"20250321"
"H1_25_2025_03_02"	"20250321_2429695737"	"both"	"2025_03_02"	"25"	"20250321"
"B2_15_2025_03_03"	"20250321_2429695737"	"both"	"2025_03_03"	"15"	"20250321"
"D2_16_2025_03_03"	"20250321_2429695737"	"both"	"2025_03_03"	"16"	"20250321"
"E3_15_2025_03_04"	"20250321_2429695737"	"both"	"2025_03_04"	"15"	"20250321"
"A3_17_2025_03_06"	"20250321_2429695737"	"both"	"2025_03_06"	"17"	"20250321"
"C3_25_2025_03_06"	"20250321_2429695737"	"both"	"2025_03_06"	"25"	"20250321"
"E2_05_2025_03_06"	"20250321_2429695737"	"both"	"2025_03_06"	"05"	"20250321"
"G2_10_2025_03_06"	"20250321_2429695737"	"both"	"2025_03_06"	"10"	"20250321"
"G3_16_2025_03_06"	"20250321_2429695737"	"both"	"2025_03_06"	"16"	"20250321"
"B3_17_2025_03_07"	"20250321_2429695737"	"both"	"2025_03_07"	"17"	"20250321"
"D3_25_2025_03_07"	"20250321_2429695737"	"both"	"2025_03_07"	"25"	"20250321"
"F2_05_2025_03_07"	"20250321_2429695737"	"both"	"2025_03_07"	"05"	"20250321"
"F3_15_2025_03_07"	"20250321_2429695737"	"both"	"2025_03_07"	"15"	"20250321"
"H2_10_2025_03_07"	"20250321_2429695737"	"both"	"2025_03_07"	"10"	"20250321"
"H3_16_2025_03_08"	"20250321_2429695737"	"both"	"2025_03_08"	"16"	"20250321"
"A1_05_2025_03_10"	"20250404_2427661030"	"both"	"2025_03_10"	"05"	"20250404"
"C1_10_2025_03_10"	"20250404_2427661030"	"both"	"2025_03_10"	"10"	"20250404"
"E1_17_2025_03_10"	"20250404_2427661030"	"both"	"2025_03_10"	"17"	"20250404"
"G1_25_2025_03_10"	"20250404_2427661030"	"both"	"2025_03_10"	"25"	"20250404"
"A2_15_2025_03_12"	"20250404_2427661030"	"both"	"2025_03_12"	"15"	"20250404"
"C2_16_2025_03_14"	"20250404_2427661030"	"both"	"2025_03_14"	"16"	"20250404"
"B1_05_2025_03_15"	"20250404_2427661030"	"both"	"2025_03_15"	"05"	"20250404"
"D1_10_2025_03_15"	"20250404_2427661030"	"both"	"2025_03_15"	"10"	"20250404"
"F1_17_2025_03_15"	"20250404_2427661030"	"both"	"2025_03_15"	"17"	"20250404"
"H1_25_2025_03_15"	"20250404_2427661030"	"both"	"2025_03_15"	"25"	"20250404"
"B2_15_2025_03_16"	"20250404_2427661030"	"both"	"2025_03_16"	"15"	"20250404"
"D2_16_2025_03_16"	"20250404_2427661030"	"both"	"2025_03_16"	"16"	"20250404"
"A3_17_2025_03_18"	"20250404_2427661030"	"both"	"2025_03_18"	"17"	"20250404"
"C3_25_2025_03_18"	"20250404_2427661030"	"both"	"2025_03_18"	"25"	"20250404"
"E2_05_2025_03_18"	"20250404_2427661030"	"both"	"2025_03_18"	"05"	"20250404"
"G2_10_2025_03_18"	"20250404_2427661030"	"both"	"2025_03_18"	"10"	"20250404"
"G3_16_2025_03_18"	"20250404_2427661030"	"both"	"2025_03_18"	"16"	"20250404"
"E3_15_2025_03_20"	"20250404_2427661030"	"both"	"2025_03_20"	"15"	"20250404"
"B3_17_2025_03_23"	"20250404_2427661030"	"both"	"2025_03_23"	"17"	"20250404"
"D3_25_2025_03_23"	"20250404_2427661030"	"both"	"2025_03_23"	"25"	"20250404"
"F2_05_2025_03_23"	"20250404_2427661030"	"both"	"2025_03_23"	"05"	"20250404"
"H2_10_2025_03_23"	"20250404_2427661030"	"both"	"2025_03_23"	"10"	"20250404"
"F3_15_2025_03_24"	"20250404_2427661030"	"both"	"2025_03_24"	"15"	"20250404"
"H3_16_2025_03_24"	"20250404_2427661030"	"both"	"2025_03_24"	"16"	"20250404"
"E1_15_2025_03_25"	"20251031_2505509054"	"both"	"2025_03_25"	"15"	"20251031"
"A1_16_2025_03_26"	"20251031_2505509054"	"both"	"2025_03_26"	"16"	"20251031"
"A3_05_2025_03_26"	"20251031_2505509054"	"both"	"2025_03_26"	"05"	"20251031"
