"","ara_id","sample_id","collection_date","flow","loq","pathogen","conc","total_pop","ara_name","load","median_7d"
"90",26101,"10_2025_04_07",2025-04-07,140642,32880,"RSV-B",2837.996,475198,"Werdhölzli",839947.629055678,901593.300810399
"91",26101,"10_2025_04_13",2025-04-13,132592,32880,"RSV-A",6314.3657,475198,"Werdhölzli",1761864.26898766,901593.300810399
"92",26101,"10_2025_04_13",2025-04-13,132592,32880,"RSV-B",2525.051,475198,"Werdhölzli",704551.707271495,839947.629055678
"93",26101,"10_2025_04_15",2025-04-15,137804,32880,"RSV-A",1470.6392,475198,"Werdhölzli",426474.783809696,828505.324243789
"94",26101,"10_2025_04_15",2025-04-15,137804,32880,"RSV-B",1246.9738,475198,"Werdhölzli",361613.427529577,704551.707271495
"95",26101,"10_2025_04_18",2025-04-18,125692,32880,"RSV-A",11685.174,475198,"Werdhölzli",3090780.87535722,594901.979235603
"96",26101,"10_2025_04_18",2025-04-18,125692,32880,"RSV-B",4420.69,475198,"Werdhölzli",1169292.31074205,659090.2592553
"97",26101,"10_2025_04_23",2025-04-23,214528,32880,"RSV-A",0,475198,"Werdhölzli",0,426474.783809696
"98",26101,"10_2025_04_23",2025-04-23,214528,32880,"RSV-B",1459.9417,475198,"Werdhölzli",659090.2592553,426089.534442485
"99",26101,"10_2025_04_26",2025-04-26,198389,32880,"RSV-A",1424.9592,475198,"Werdhölzli",594901.979235603,NA
"100",26101,"10_2025_04_26",2025-04-26,198389,32880,"RSV-B",0,475198,"Werdhölzli",0,NA
"101",26101,"10_2025_05_01",2025-05-01,127199,32880,"RSV-A",0,475198,"Werdhölzli",0,NA
"102",26101,"10_2025_05_01",2025-05-01,127199,32880,"RSV-B",1591.812,475198,"Werdhölzli",426089.534442485,NA
"103",26101,"10_2025_05_04",2025-05-04,316675,32880,"RSV-A",0,475198,"Werdhölzli",0,NA
"104",26101,"10_2025_05_04",2025-05-04,316675,32880,"RSV-B",0,475198,"Werdhölzli",0,NA
"105",66700,"25_2024_11_08",2024-11-08,17832,32880,"RSV-A",0,74363,"Laupen",0,NA
"106",66700,"25_2024_11_08",2024-11-08,17832,32880,"RSV-B",0,74363,"Laupen",0,NA
"107",66700,"25_2024_11_09",2024-11-09,16758,32880,"RSV-A",3984.9048,74363,"Laupen",898014.262985624,NA
"108",66700,"25_2024_11_09",2024-11-09,16758,32880,"RSV-B",0,74363,"Laupen",0,NA
"109",66700,"25_2024_11_16",2024-11-16,16806,32880,"RSV-A",0,74363,"Laupen",0,NA
"110",66700,"25_2024_11_16",2024-11-16,16806,32880,"RSV-B",0,74363,"Laupen",0,NA
"111",66700,"25_2024_11_17",2024-11-17,16734,32880,"RSV-A",0,74363,"Laupen",0,0
"112",66700,"25_2024_11_17",2024-11-17,16734,32880,"RSV-B",4503.755,74363,"Laupen",1013485.68737141,0
"113",66700,"25_2024_11_22",2024-11-22,25748,32880,"RSV-A",0,74363,"Laupen",0,0
"114",66700,"25_2024_11_22",2024-11-22,25748,32880,"RSV-B",0,74363,"Laupen",0,0
"115",66700,"25_2024_11_24",2024-11-24,29472,32880,"RSV-A",0,74363,"Laupen",0,0
"116",66700,"25_2024_11_24",2024-11-24,29472,32880,"RSV-B",0,74363,"Laupen",0,0
"117",66700,"25_2024_11_29",2024-11-29,26670,32880,"RSV-A",818.1839,74363,"Laupen",293438.465540659,0
"118",66700,"25_2024_11_29",2024-11-29,26670,32880,"RSV-B",0,74363,"Laupen",0,0
"119",66700,"25_2024_11_30",2024-11-30,23724,32880,"RSV-A",0,74363,"Laupen",0,0
"120",66700,"25_2024_11_30",2024-11-30,23724,32880,"RSV-B",0,74363,"Laupen",0,0
"121",66700,"25_2024_12_07",2024-12-07,41853,32880,"RSV-A",0,74363,"Laupen",0,0
"122",66700,"25_2024_12_07",2024-12-07,41853,32880,"RSV-B",0,74363,"Laupen",0,0
"123",66700,"25_2024_12_08",2024-12-08,27219,32880,"RSV-A",0,74363,"Laupen",0,293438.465540659
"124",66700,"25_2024_12_08",2024-12-08,27219,32880,"RSV-B",0,74363,"Laupen",0,0
"125",66700,"25_2024_12_13",2024-12-13,21646,32880,"RSV-A",1289.5364,74363,"Laupen",375365.503199172,375365.503199172
"126",66700,"25_2024_12_13",2024-12-13,21646,32880,"RSV-B",0,74363,"Laupen",0,0
"127",66700,"25_2024_12_15",2024-12-15,20710,32880,"RSV-A",10581.211,74363,"Laupen",2946853.67467692,1369523.94379732
"128",66700,"25_2024_12_15",2024-12-15,20710,32880,"RSV-B",1436.6465,74363,"Laupen",400104.205249923,400104.205249923
"129",66700,"25_2024_12_20",2024-12-20,24662,32880,"RSV-A",4129.5073,74363,"Laupen",1369523.94379732,1532164.09499348
"130",66700,"25_2024_12_20",2024-12-20,24662,32880,"RSV-B",1376.4369,74363,"Laupen",456486.247566666,400104.205249923
"131",66700,"25_2024_12_21",2024-12-21,33506,32880,"RSV-A",7452.323,74363,"Laupen",3357819.53979802,1532164.09499348
"132",66700,"25_2024_12_21",2024-12-21,33506,32880,"RSV-B",2942.4011,74363,"Laupen",1325768.07359305,456486.247566666
"133",66700,"25_2024_12_28",2024-12-28,21080,32880,"RSV-A",5404.9487,74363,"Laupen",1532164.09499348,1532164.09499348
"134",66700,"25_2024_12_28",2024-12-28,21080,32880,"RSV-B",4165.9824,74363,"Laupen",1180948.97989592,1180948.97989592
"135",66700,"25_2024_12_29",2024-12-29,20614,32880,"RSV-A",11989.589,74363,"Laupen",3323607.0041015,1532164.09499348
"136",66700,"25_2024_12_29",2024-12-29,20614,32880,"RSV-B",1335.2306,74363,"Laupen",370136.271914796,1180948.97989592
"137",66700,"25_2025_01_01",2025-01-01,19381,32880,"RSV-A",5855.7188,74363,"Laupen",1526157.98263653,1532164.09499348
"138",66700,"25_2025_01_01",2025-01-01,19381,32880,"RSV-B",6167.673,74363,"Laupen",1607461.64642362,1180948.97989592
"139",66700,"25_2025_01_03",2025-01-03,28891,32880,"RSV-A",0,74363,"Laupen",0,1526157.98263653
"140",66700,"25_2025_01_03",2025-01-03,28891,32880,"RSV-B",3380.7153,74363,"Laupen",1313452.1970913,1014966.00611594
"141",66700,"25_2025_01_09",2025-01-09,39503,32880,"RSV-A",6697.7046,74363,"Laupen",3557944.47257104,1526157.98263653
"142",66700,"25_2025_01_09",2025-01-09,39503,32880,"RSV-B",1910.6376,74363,"Laupen",1014966.00611594,1014966.00611594
"143",66700,"25_2025_01_11",2025-01-11,29335,32880,"RSV-A",2887.1418,74363,"Laupen",1138930.71423961,1138930.71423961
"144",66700,"25_2025_01_11",2025-01-11,29335,32880,"RSV-B",1332.3376,74363,"Laupen",525585.620483305,1014966.00611594
"145",66700,"25_2025_01_13",2025-01-13,25167,32880,"RSV-A",0,74363,"Laupen",0,518473.136307034
"146",66700,"25_2025_01_13",2025-01-13,25167,32880,"RSV-B",0,74363,"Laupen",0,1014966.00611594
"147",66700,"25_2025_01_19",2025-01-19,21756,32880,"RSV-A",9241.711,74363,"Laupen",2703799.7998467,1138930.71423961
"148",66700,"25_2025_01_19",2025-01-19,21756,32880,"RSV-B",6661.1987,74363,"Laupen",1948832.60381104,1014966.00611594
"149",66700,"25_2025_01_21",2025-01-21,20714,32880,"RSV-A",0,74363,"Laupen",0,1138930.71423961
"150",66700,"25_2025_01_21",2025-01-21,20714,32880,"RSV-B",0,74363,"Laupen",0,1594423.86993532
"151",66700,"25_2025_01_24",2025-01-24,22324,32880,"RSV-A",1727.0748,74363,"Laupen",518473.136307034,854183.24543254
"152",66700,"25_2025_01_24",2025-01-24,22324,32880,"RSV-B",6749.212,74363,"Laupen",2026134.08130387,1594423.86993532
"153",66700,"25_2025_01_29",2025-01-29,39260,32880,"RSV-A",4562.725,74363,"Laupen",2408893.98625661,1853509.20547046
"154",66700,"25_2025_01_29",2025-01-29,39260,32880,"RSV-B",3020.024,74363,"Laupen",1594423.86993532,1948832.60381104
"155",66700,"25_2025_02_01",2025-02-01,27803,32880,"RSV-A",4957.4688,74363,"Laupen",1853509.20547046,1049157.88310719
"156",66700,"25_2025_02_01",2025-02-01,27803,32880,"RSV-B",5825.403,74363,"Laupen",2178014.32982801,1594423.86993532
"157",66700,"25_2025_02_06",2025-02-06,24047,32880,"RSV-A",2641.4783,74363,"Laupen",854183.24543254,1853509.20547046
"158",66700,"25_2025_02_06",2025-02-06,24047,32880,"RSV-B",0,74363,"Laupen",0,2026134.08130387
"159",66700,"25_2025_02_09",2025-02-09,22696,32880,"RSV-A",17806.111,74363,"Laupen",5434523.82577357,1853509.20547046
"160",66700,"25_2025_02_09",2025-02-09,22696,32880,"RSV-B",13549.238,74363,"Laupen",4135302.5785404,1594423.86993532
"161",66700,"25_2025_02_10",2025-02-10,27043,32880,"RSV-A",2884.9805,74363,"Laupen",1049157.88310719,1853509.20547046
"162",66700,"25_2025_02_10",2025-02-10,27043,32880,"RSV-B",1421.3152,74363,"Laupen",516878.379753372,2178014.32982801
"163",66700,"25_2025_02_14",2025-02-14,24494,32880,"RSV-A",9971.325,74363,"Laupen",3284397.27485443,1049157.88310719
"164",66700,"25_2025_02_14",2025-02-14,24494,32880,"RSV-B",11506.732,74363,"Laupen",3790136.13770289,516878.379753372
"165",66700,"25_2025_02_18",2025-02-18,21313,32880,"RSV-A",0,74363,"Laupen",0,1886920.33694176
"166",66700,"25_2025_02_18",2025-02-18,21313,32880,"RSV-B",0,74363,"Laupen",0,1793737.77800923
"167",66700,"25_2025_02_22",2025-02-22,20333,32880,"RSV-A",6900.952,74363,"Laupen",1886920.33694176,1049157.88310719
"168",66700,"25_2025_02_22",2025-02-22,20333,32880,"RSV-B",17792.014,74363,"Laupen",4864852.42206474,516878.379753372
"169",66700,"25_2025_02_26",2025-02-26,21988,32880,"RSV-A",2981.4045,74363,"Laupen",881555.641192529,881555.641192529
"170",66700,"25_2025_02_26",2025-02-26,21988,32880,"RSV-B",0,74363,"Laupen",0,824337.985363689
