location	variant	date	proportion	proportionLower	proportionUpper
Lugano (TI)	B.D.E.7	2025-01-09	0.0011434156947323704	2.3646099086565355e-10	0.0028382782210377164
Lugano (TI)	B.D.E.7	2025-01-11	0.0011144107437726306	2.650071627307389e-05	0.002357247803501834
Lugano (TI)	B.D.E.7	2025-01-13	0.0012017448628796187	0.00012311868461288857	0.002358051355325517
Lugano (TI)	B.D.E.7	2025-01-19	0.0013434204833355087	9.075142875051545e-05	0.0030535077140162493
Lugano (TI)	B.D.E.7	2025-01-24	0.0014561321137951558	2.2997766463718306e-05	0.0033466528955867804
Lugano (TI)	B.D.E.7	2025-02-01	0.0034948279153999124	0.0012303135011717836	0.006622802861054327
Lugano (TI)	B.D.E.7	2025-02-06	0.003097677340358242	0.0012121067250023796	0.005472251528029243
Lugano (TI)	B.D.E.7	2025-02-09	0.0024039947771765085	0.001058964296399028	0.003953912326610285
Lugano (TI)	B.D.E.7	2025-02-10	0.002233117095867918	0.0009951038518334365	0.0037204726420385853
Lugano (TI)	B.D.E.7	2025-02-14	0.002009542709380133	0.000935787834631834	0.0033528606181957646
Lugano (TI)	B.D.E.7	2025-02-18	0.0023571572776477385	0.001168751988185386	0.0038954054712545512
Lugano (TI)	B.D.E.7	2025-02-22	0.002975719653578096	0.0014518093793420572	0.0053262230620907975
Lugano (TI)	B.D.E.7	2025-02-26	0.0031047845810796004	0.0014955735687291855	0.006013082261912554
Lugano (TI)	B.D.E.7	2025-03-02	0.002761409637961152	0.0013518571314107431	0.006005986328910303
Lugano (TI)	B.D.E.7	2025-03-06	0.002713696427992264	0.0012412226142889124	0.006284490352150744
Lugano (TI)	B.D.E.7	2025-03-07	0.0028494914339126324	0.0012881054367886414	0.006988341231408871
Lugano (TI)	B.D.E.7	2025-03-15	0.014121602070606278	0.004669204541516265	0.04594678532723613
Lugano (TI)	B.D.E.7	2025-03-23	0.002554952541238908	0.0006718856579559779	0.005200873324496219
Lugano (TI)	B.D.E.7	2025-03-26	0.0014718070798101716	0.0004041250772558159	0.0031517206551126007
Lugano (TI)	B.D.E.7	2025-03-28	0.0013033657879794377	0.0002991429356296323	0.002695185054359526
Lugano (TI)	B.D.E.7	2025-04-03	0.0013697660231633457	4.357841339942194e-11	0.0036795959281240645
Lugano (TI)	B.D.E.7	2025-04-05	0.0013236733436108076	9.249395427192598e-16	0.0036807936682641674
Lugano (TI)	B.D.E.7	2025-04-07	0.0013222445107714193	2.638262296144921e-14	0.003966468511876873
Lugano (TI)	B.D.E.7	2025-04-15	0.0007393098623274631	1.0314049450018751e-27	0.0036326104140015397
Lugano (TI)	B.D.E.7	2025-04-18	0.0005601254386283409	5.901102487766579e-17	0.002293600956343875
Lugano (TI)	undetermined	2024-12-03	0.007438576307208653	0.002172473748844699	0.01986889982158911
Lugano (TI)	undetermined	2024-12-07	0.004909020514069601	0.0015837367656979333	0.009133994064379251
